date,likes,CA,TX,NY,CA_new,TX_new,NY_new
1/7/21,21688585,2589250,1910426,1082142,40420,22626,17588
1/8/21,21989362,2640221,1934504,1101702,50971,24078,19560
1/9/21,22241281,2687450,1952047,1119541,47229,17543,17839
1/10/21,22449576,2729858,1966081,1135849,42408,14034,16308
1/11/21,22675892,2770482,1989821,1150028,40624,23740,14179
1/12/21,22905869,2816366,2017036,1164819,45884,27215,14791
1/13/21,23135194,2858041,2040144,1179523,41675,23108,14704
1/14/21,23374716,2898756,2070044,1193710,40715,29900,14187
1/15/21,23614569,2937860,2094606,1213179,39104,24562,19469
1/16/21,23816762,2975419,2112925,1229124,37559,18319,15945
1/17/21,23986856,3006966,2125391,1242818,31547,12466,13694
1/18/21,24127989,3032359,2136595,1256228,25393,11204,13410
1/19/21,24314933,3071465,2158462,1268949,39106,21867,12721
1/20/21,24500421,3090794,2186469,1280068,19329,28007,11119
1/21/21,24690903,3116369,2207935,1293976,25575,21466,13908
1/22/21,24882468,3141404,2226203,1309660,25035,18268,15684
1/23/21,25050385,3164386,2240136,1323569,22982,13933,13909
1/24/21,25180061,3186036,2247849,1335952,21650,7713,12383
1/25/21,25336637,3212939,2268260,1347924,26903,20411,11972
1/26/21,25487275,3234571,2288854,1358964,21632,20594,11040
1/27/21,25643045,3253201,2308600,1369329,18630,19746,10365
1/28/21,25809220,3272829,2328099,1383112,19628,19499,13783
1/29/21,25973835,3292572,2346818,1396063,19743,18719,12951
1/30/21,26107635,3310100,2360584,1408955,17528,13766,12892
1/31/21,26221430,3324064,2372960,1420164,13964,12376,11209
2/1/21,26363284,3341656,2412150,1429096,17592,39190,8932
2/2/21,26478540,3354544,2430370,1437045,12888,18220,7949
2/3/21,26598723,3367104,2448334,1444199,12560,17964,7154
2/4/21,26724359,3381785,2461907,1451169,14681,13573,6970
2/5/21,26853860,3395797,2476282,1459066,14012,14375,7897
2/6/21,26958807,3407369,2484782,1470558,11572,8500,11492
2/7/21,27046088,3417563,2492317,1480481,10194,7535,9923
2/8/21,27139070,3431179,2503200,1489453,13616,10883,8972
2/9/21,27235460,3441692,2516432,1497732,10513,13232,8279
2/10/21,27330435,3450284,2529516,1504316,8592,13084,6584
2/11/21,27436075,3460901,2541392,1514327,10617,11876,10011
2/12/21,27535702,3470426,2553677,1523042,9525,12285,8715
2/13/21,27620354,3479586,2561684,1531797,9160,8007,8755
2/14/21,27684134,3485533,2566191,1540127,5947,4507,8330
2/15/21,27739406,3490542,2569113,1546665,5009,2922,6538
2/16/21,27803946,3499336,2572743,1553374,8794,3630,6709
2/17/21,27874107,3505610,2577230,1559299,6274,4487,5925
2/18/21,27945898,3513458,2579584,1568881,7848,2354,9582
2/19/21,28023910,3521349,2585482,1577454,7891,5898,8573
2/20/21,28093630,3527411,2590989,1585692,6062,5507,8238
2/21/21,28148810,3532057,2597379,1591929,4646,6390,6237
2/22/21,28208276,3537033,2604710,1598226,4976,7331,6297
2/23/21,28280189,3543293,2614977,1605149,6260,10267,6923
2/24/21,28354383,3549145,2622573,1611288,5852,7596,6139
2/25/21,28432264,3554779,2630384,1620181,5634,7811,8893
2/26/21,28510582,3561681,2641266,1628255,6902,10882,8074
2/27/21,28573256,3566089,2646681,1636297,4408,5415,8042
2/28/21,28624161,3569578,2650283,1644124,3489,3602,7827
3/1/21,28680857,3573775,2658389,1650560,4197,8106,6436
3/2/21,28738501,3578092,2665566,1656941,4317,7177,6381
3/3/21,28805113,3582495,2673115,1663505,4403,7549,6564
3/4/21,28872395,3587750,2680637,1670973,5255,7522,7468
3/5/21,28938090,3592812,2686191,1679124,5062,5554,8151
3/6/21,28994675,3597075,2689785,1687250,4263,3594,8126
3/7/21,29034739,3599828,2692573,1694908,2753,2788,7658
3/8/21,29129252,3604005,2696533,1700348,4177,3960,5440
3/9/21,29185151,3608146,2701913,1707181,4141,5380,6833
3/10/21,29243346,3611614,2707234,1713287,3468,5321,6106
